"행정구역","2024년07월_거주자_총인구수","2024년07월_거주자_연령구간인구수","2024년07월_거주자_0세","2024년07월_거주자_1세","2024년07월_거주자_2세","2024년07월_거주자_3세","2024년07월_거주자_4세","2024년07월_거주자_5세","2024년07월_거주자_6세","2024년07월_거주자_7세","2024년07월_거주자_8세","2024년07월_거주자_9세","2024년07월_거주자_10세","2024년07월_거주자_11세","2024년07월_거주자_12세","2024년07월_거주자_13세","2024년07월_거주자_14세","2024년07월_거주자_15세","2024년07월_거주자_16세","2024년07월_거주자_17세","2024년07월_거주자_18세","2024년07월_거주자_19세","2024년07월_거주자_20세","2024년07월_거주자_21세","2024년07월_거주자_22세","2024년07월_거주자_23세","2024년07월_거주자_24세","2024년07월_거주자_25세","2024년07월_거주자_26세","2024년07월_거주자_27세","2024년07월_거주자_28세","2024년07월_거주자_29세","2024년07월_거주자_30세","2024년07월_거주자_31세","2024년07월_거주자_32세","2024년07월_거주자_33세","2024년07월_거주자_34세","2024년07월_거주자_35세","2024년07월_거주자_36세","2024년07월_거주자_37세","2024년07월_거주자_38세","2024년07월_거주자_39세","2024년07월_거주자_40세","2024년07월_거주자_41세","2024년07월_거주자_42세","2024년07월_거주자_43세","2024년07월_거주자_44세","2024년07월_거주자_45세","2024년07월_거주자_46세","2024년07월_거주자_47세","2024년07월_거주자_48세","2024년07월_거주자_49세","2024년07월_거주자_50세","2024년07월_거주자_51세","2024년07월_거주자_52세","2024년07월_거주자_53세","2024년07월_거주자_54세","2024년07월_거주자_55세","2024년07월_거주자_56세","2024년07월_거주자_57세","2024년07월_거주자_58세","2024년07월_거주자_59세","2024년07월_거주자_60세","2024년07월_거주자_61세","2024년07월_거주자_62세","2024년07월_거주자_63세","2024년07월_거주자_64세","2024년07월_거주자_65세","2024년07월_거주자_66세","2024년07월_거주자_67세","2024년07월_거주자_68세","2024년07월_거주자_69세","2024년07월_거주자_70세","2024년07월_거주자_71세","2024년07월_거주자_72세","2024년07월_거주자_73세","2024년07월_거주자_74세","2024년07월_거주자_75세","2024년07월_거주자_76세","2024년07월_거주자_77세","2024년07월_거주자_78세","2024년07월_거주자_79세","2024년07월_거주자_80세","2024년07월_거주자_81세","2024년07월_거주자_82세","2024년07월_거주자_83세","2024년07월_거주자_84세","2024년07월_거주자_85세","2024년07월_거주자_86세","2024년07월_거주자_87세","2024년07월_거주자_88세","2024년07월_거주자_89세","2024년07월_거주자_90세","2024년07월_거주자_91세","2024년07월_거주자_92세","2024년07월_거주자_93세","2024년07월_거주자_94세","2024년07월_거주자_95세","2024년07월_거주자_96세","2024년07월_거주자_97세","2024년07월_거주자_98세","2024년07월_거주자_99세","2024년07월_거주자_100세 이상"
"경기도 경기도 양평군 (4183000000)","126,050","126,050","421","490","496","508","542","583","656","808","816","920","921","947","1,050","1,073","1,007","1,017","1,049","988","993","1,045","941","830","932","914","985","941","993","948","1,027","1,104","1,069","1,102","1,119","1,029","1,027","986","1,009","978","1,146","1,163","1,299","1,428","1,694","1,598","1,753","1,557","1,523","1,613","1,602","1,806","1,939","2,077","2,041","2,172","2,119","2,214","2,107","2,180","2,221","2,401","2,277","2,776","2,555","3,241","3,079","2,852","2,792","2,569","2,508","2,706","2,103","2,041","2,087","1,368","1,455","1,457","1,452","1,451","1,064","1,138","1,075","1,143","1,082","903","745","758","612","585","513","412","336","265","204","132","126","98","61","46","24","14","28"
"경기도 양평군 양평읍(4183025000)","37,150","37,150","192","216","195","198","243","227","268","287","302","337","323","343","394","361","376","373","392","406","354","359","354","325","352","380","365","385","375","363","404","431","438","443","419","410","368","386","405","367","415","417","440","531","623","560","622","554","520","522","551","628","673","710","682","635","642","649","628","610","636","625","569","675","619","749","658","653","600","543","519","572","448","416","423","286","257","302","311","298","215","226","220","226","241","191","154","147","115","94","87","89","62","60","34","28","28","14","10","11","2","2","7"
"경기도 양평군 강상면(4183031000)","9,968","9,968","42","49","60","53","43","65","71","97","74","93","104","89","94","101","82","106","90","72","86","79","52","60","82","59","69","62","80","65","73","80","74","88","83","66","88","74","75","80","108","125","146","114","163","157","145","130","144","161","152","165","180","155","147","145","157","177","164","149","151","153","185","204","206","255","225","199","213","187","164","200","164","166","164","100","110","111","102","131","78","74","63","76","79","48","42","59","47","38","30","26","12","21","10","8","10","3","1","3","3","2","1"
"경기도 양평군 강하면(4183032000)","4,800","4,800","16","9","13","13","19","14","11","22","10","21","13","16","18","27","16","13","27","20","20","18","34","22","31","29","32","29","26","30","32","34","36","32","27","31","31","34","32","25","37","31","45","40","43","37","49","40","39","39","43","52","51","70","52","91","84","77","75","85","93","105","119","120","119","180","160","147","158","127","139","167","110","94","108","73","95","87","78","74","52","53","46","41","55","43","25","36","22","23","13","18","13","8","8","7","4","5","2","8","0","0","2"
"경기도 양평군 양서면(4183033000)","13,905","13,905","39","39","55","56","50","52","57","77","88","79","86","96","99","101","108","104","99","99","124","155","120","100","98","87","98","100","107","111","112","115","121","113","121","90","123","102","96","99","121","112","125","136","186","175","210","153","162","165","139","197","195","236","251","253","255","283","240","256","232","282","257","302","283","360","361","320","339","313","262","334","230","222","229","171","197","161","193","174","120","131","118","150","115","95","81","83","59","58","60","48","36","30","25","15","6","12","8","1","4","0","2"
"경기도 양평군 옥천면(4183034000)","7,979","7,979","15","31","33","27","36","30","38","46","49","49","45","55","71","76","59","67","56","47","42","51","38","37","44","57","65","55","66","58","68","73","60","65","70","65","51","57","55","70","79","75","92","91","102","103","92","88","92","100","99","105","94","118","137","140","141","136","126","133","149","177","158","186","171","224","216","208","196","178","184","172","138","129","151","106","101","96","81","98","77","85","58","65","69","68","53","45","44","42","33","23","19","20","9","6","10","7","4","1","1","1","0"
"경기도 양평군 서종면(4183035000)","9,886","9,886","23","30","23","33","26","47","51","81","66","91","94","79","96","121","83","82","104","80","79","61","61","52","59","55","59","53","49","53","54","46","60","56","64","71","64","74","70","72","77","89","122","144","133","134","126","148","136","151","146","177","152","164","182","207","160","167","166","191","165","209","187","217","231","255","220","243","216","206","258","214","193","178","152","118","127","123","114","110","84","84","78","82","56","56","51","39","35","43","35","25","20","18","12","12","7","5","4","4","5","1","0"
"경기도 양평군 단월면(4183036000)","3,892","3,892","3","6","4","8","6","8","11","7","13","13","23","13","26","28","43","25","25","13","17","19","14","15","12","21","17","18","14","21","21","30","24","29","18","25","18","19","27","20","24","19","33","42","35","35","42","36","29","35","43","41","48","59","48","69","55","66","68","79","76","83","64","114","91","133","149","108","113","107","104","108","76","105","90","44","63","56","53","58","40","42","52","61","43","36","48","38","32","21","29","20","13","8","12","6","5","4","1","2","2","1","1"
"경기도 양평군 청운면(4183037000)","3,750","3,750","3","4","5","4","5","9","7","12","12","8","18","19","15","12","8","12","10","12","16","15","23","7","22","17","16","15","22","13","26","23","25","19","25","13","17","18","20","11","19","16","22","20","33","33","34","26","26","44","28","33","54","50","50","56","58","55","61","75","84","87","75","93","88","123","128","123","110","92","111","115","103","93","91","63","52","72","63","48","59","51","53","47","54","44","43","32","34","41","41","26","29","9","16","10","3","4","2","1","2","2","2"
"경기도 양평군 양동면(4183038000)","4,501","4,501","4","7","12","9","9","8","9","14","15","9","16","17","22","14","17","22","26","22","22","15","25","19","17","19","29","24","27","27","16","30","22","23","28","22","33","19","23","26","32","20","30","31","36","38","36","31","32","39","34","31","67","49","55","66","77","78","69","86","101","103","105","158","122","149","141","126","127","121","120","153","103","113","88","77","83","71","73","66","41","60","63","68","48","44","44","49","38","45","21","19","32","11","19","12","10","9","8","2","0","0","3"
