"경기도 양평군 (4183000000)","126,185","126,185","6,082","9,988","9,506","10,635","15,731","21,454","27,478","16,019","7,913","1,348","31"
"경기도 양평군 양평읍(4183025000)","37,480","37,480","2,420","3,712","3,716","4,150","5,527","6,558","6,262","3,291","1,572","264","8"
"경기도 양평군 강상면(4183031000)","10,023","10,023","634","893","695","839","1,465","1,621","2,062","1,227","514","72","1"
"경기도 양평군 강하면(4183032000)","4,801","4,801","142","184","299","314","421","768","1,430","853","329","59","2"
"경기도 양평군 양서면(4183033000)","13,801","13,801","579","983","1,008","1,101","1,613","2,471","3,147","1,891","869","137","2"
"경기도 양평군 옥천면(4183034000)","7,973","7,973","351","560","536","653","953","1,332","1,901","1,089","518","80","0"
"경기도 양평군 서종면(4183035000)","9,809","9,809","446","876","534","660","1,379","1,772","2,236","1,299","512","95","0"
"경기도 양평군 단월면(4183036000)","3,897","3,897","81","222","185","228","372","634","1,100","649","374","50","2"
"경기도 양평군 청운면(4183037000)","3,729","3,729","65","128","179","185","291","637","1,039","715","405","84","1"
"경기도 양평군 양동면(4183038000)","4,509","4,509","99","190","226","254","338","725","1,324","802","445","103","3"
"경기도 양평군 지평면(4183039500)","6,609","6,609","173","301","372","348","541","1,055","1,892","1,140","651","132","4"
"경기도 양평군 용문면(4183040000)","18,482","18,482","944","1,643","1,448","1,608","2,294","3,064","3,732","2,248","1,299","197","5"
"경기도 양평군 개군면(4183041000)","5,072","5,072","148","296","308","295","537","817","1,353","815","425","75","3"
